pdb_code,resolution,year,measure_type,operator,affinity_m,paffinity
1dbk,3.0,1994,IC50,=,8e-09,8.096910013008056
1hsl,1.89,1994,Kd,=,6.4e-08,7.1938200260161125
2drc,1.9,1994,Kd,=,1.3000000000000002e-10,9.886056647693163
1sri,1.65,1994,Kd,=,8.299999999999999e-07,6.080921907623926
1tka,2.7,1994,Kd,=,8e-07,6.096910013008056
1lst,1.8,1994,Kd,=,1.4000000000000001e-08,7.853871964321762
1tkc,2.7,1994,Kd,=,1.4e-05,4.853871964321762
1ctr,2.45,1994,Kd,=,1e-06,6.0
1dhj,1.8,1994,Kd,=,2.8100000000000004e-07,6.55129368009492
1tys,1.8,1994,Kd,=,3.27e-06,5.485452247339714
1sps,2.7,1994,Kd,=,3.0000000000000004e-09,8.522878745280337
1pyg,2.87,1994,Kd,=,3e-06,5.522878745280337
1adl,1.6,1994,Kd,=,4.4e-06,5.356547323513812
1mfd,2.1,1994,Kd,=,4.9000000000000005e-06,5.309803919971486
2cgr,2.2,1994,Kd,=,5.3000000000000005e-08,7.275724130399211
1dhi,1.9,1994,Kd,=,5.5e-08,7.259637310505756
1srg,1.8,1994,Kd,=,4.9999999999999996e-06,5.301029995663981
1erb,1.9,1994,Kd,=,8e-09,8.096910013008056
1mfa,1.7,1994,Kd,=,9.1e-06,5.040958607678906
1tni,1.9,1994,Ki,=,0.0001,4.0
1add,2.4,1994,Ki,=,1.8e-07,6.7447274948966935
1tmb,2.3,1994,Ki,=,1.8e-07,6.7447274948966935
1elc,1.75,1994,Ki,=,2.1999999999999998e-07,6.657577319177793
1cil,1.6,1994,Ki,=,3.7e-10,9.431798275933005
1thl,1.7,1994,Ki,=,3.7999999999999996e-07,6.42021640338319
1ela,2.0,1994,Ki,=,4.3999999999999997e-07,6.356547323513813
1cbx,2.0,1994,Ki,=,4.5e-07,6.346787486224656
1inc,1.94,1994,Ki,=,4.6000000000000007e-10,9.337242168318426
1ppc,1.8,1994,Ki,=,6.9e-07,6.161150909262744
1hps,2.3,1994,Ki,=,6e-10,9.221848749616356
1fig,3.0,1994,Ki,=,6e-07,6.221848749616356
1tet,2.3,1994,Ki,=,8.299999999999999e-07,6.080921907623926
1azm,2.0,1994,Ki,=,8e-07,6.096910013008056
1rpa,3.0,1994,Ki,=,1e-06,6.0
1pph,1.9,1994,Ki,=,1.2e-06,5.920818753952375
1ett,2.5,1994,Ki,=,1.3e-06,5.886056647693163
1cim,2.1,1994,Ki,=,1.5200000000000001e-09,8.818156412055227
1csi,1.7,1994,Ki,=,1.6000000000000003e-09,8.795880017344075
1cin,2.1,1994,Ki,=,1.88e-09,8.72584215073632
1fki,2.2,1994,Ki,=,1.0000000000000001e-07,7.0
1apw,1.8,1994,Ki,=,1e-08,8.0
1fkg,2.0,1994,Ki,=,1e-08,8.0
1tkb,2.3,1994,Ki,=,1e-08,8.0
1nnb,2.8,1994,Ki,=,9.999999999999999e-06,5.0
1ent,1.9,1994,Ki,=,1.1e-07,6.958607314841775
1hvl,1.8,1994,Ki,=,1.12e-10,9.950781977329818
1epo,2.0,1994,Ki,=,1.1000000000000001e-08,7.958607314841775
1hvk,1.8,1994,Ki,=,1.0999999999999999e-11,10.958607314841775
1hvi,1.8,1994,Ki,=,1.2e-11,10.920818753952375
1hgt,2.2,1994,Ki,=,1.5000000000000002e-07,6.823908740944319
1els,2.4,1994,Ki,=,1.5e-11,10.823908740944319
1eed,2.0,1994,Ki,=,1.6199999999999997e-05,4.790484985457369
1heg,2.2,1994,Ki,=,1.8000000000000002e-08,7.7447274948966935
1sbg,2.3,1994,Ki,=,1.8000000000000002e-08,7.7447274948966935
1apv,1.8,1994,Ki,=,1e-09,9.0
1hef,2.2,1994,Ki,=,1e-09,9.0
1agm,2.3,1994,Ki,=,1e-12,12.0
1ppk,1.8,1994,Ki,=,2.2000000000000002e-08,7.657577319177793
1csh,1.65,1994,Ki,=,2.8000000000000003e-08,7.552841968657781
1iht,2.1,1994,Ki,=,3.5000000000000003e-09,8.455931955649724
1lyb,2.5,1994,Ki,=,3.8e-12,11.42021640338319
1dwc,3.0,1994,Ki,=,3.9000000000000005e-08,7.4089353929735005
2cht,2.2,1994,Ki,=,3e-06,5.522878745280337
1aaq,2.5,1994,Ki,=,4e-09,8.397940008672037
1hvj,2.0,1994,Ki,=,4e-12,11.397940008672037
1epq,1.9,1994,Ki,=,6.5e-09,8.187086643357144
1dwd,3.0,1994,Ki,=,6.6e-09,8.18045606445813
1epp,1.9,1994,Ki,=,6.900000000000001e-08,7.161150909262744
1ets,2.3,1994,Ki,=,6.000000000000001e-09,8.221848749616356
1elb,2.1,1994,Ki,=,7e-08,7.154901959985743
8cpa,2.0,1994,Ki,=,7.1e-10,9.148741651280925
1fkh,1.95,1994,Ki,=,7.000000000000001e-09,8.154901959985743
1siv,2.5,1994,Ki,=,8.4e-09,8.075720713938118
1ida,1.7,1995,IC50,=,2e-09,8.698970004336019
1mnc,2.1,1995,IC50,=,4.6e-11,10.337242168318426
1fta,2.3,1995,IC50,=,4.3999999999999997e-07,6.356547323513813
1shd,2.0,1995,IC50,=,6.7e-07,6.173925197299173
1tps,1.9,1995,IC50,=,1e-08,8.0
1idb,2.2,1995,IC50,=,1.1000000000000001e-08,7.958607314841775
1hrn,1.8,1995,IC50,=,9.000000000000001e-09,8.045757490560675
1gsf,2.7,1995,IC50,=,9.999999999999999e-06,5.0
1drj,2.5,1995,Kd,=,4e-08,7.3979400086720375
2dri,1.6,1995,Kd,=,1.3e-07,6.886056647693163
1drk,2.0,1995,Kd,=,1.5e-07,6.823908740944319
1flr,1.85,1995,Kd,=,1.0000000000000002e-10,10.0
1tyr,1.8,1995,Kd,=,1e-07,7.0
1hmr,1.4,1995,Kd,=,2.8e-07,6.552841968657781
1hms,1.4,1995,Kd,=,4.2999999999999996e-07,6.366531544420414
1cbr,2.9,1995,Kd,=,4.0000000000000007e-10,9.397940008672037
1hmt,1.4,1995,Kd,=,1.6399999999999998e-06,5.785156151952302
1cka,1.5,1995,Kd,=,1.8999999999999998e-06,5.721246399047171
1cny,2.3,1995,Kd,=,1.4000000000000001e-08,7.853871964321762
1laf,2.06,1995,Kd,=,1.4000000000000001e-08,7.853871964321762
186l,1.8,1995,Kd,=,1.4e-05,4.853871964321762
1cnw,2.0,1995,Kd,=,1.9e-08,7.721246399047171
184l,1.8,1995,Kd,=,1.8999999999999998e-05,4.721246399047171
1lcj,1.8,1995,Kd,=,1e-09,9.0
1yda,2.1,1995,Kd,=,2.8e-07,6.552841968657781
1pgp,2.5,1995,Kd,=,2e-06,5.698970004336019
1lah,2.06,1995,Kd,=,3.0000000000000004e-08,7.522878745280337
1cnx,1.9,1995,Kd,=,4.3e-08,7.366531544420414
1ckb,1.9,1995,Kd,=,5.2e-06,5.2839966563652006
1ydb,1.9,1995,Kd,=,5.8e-09,8.236572006437063
1lag,2.06,1995,Kd,=,5.000000000000001e-07,6.301029995663981
1ydd,2.1,1995,Kd,=,8.6e-08,7.0655015487564325
2gyi,1.6,1995,Ki,=,1.0000000000000001e-07,7.0
1cgl,2.4,1995,Ki,=,1.35e-07,6.8696662315049934
1ele,2.0,1995,Ki,=,1.4e-07,6.853871964321762
2ada,2.4,1995,Ki,=,1e-13,13.0
1fpc,2.3,1995,Ki,=,1e-07,7.0
1eld,2.0,1995,Ki,=,2e-07,6.698970004336019
1lcp,1.65,1995,Ki,=,2.3e-07,6.638272163982407
1tyn,2.0,1995,Ki,=,2.0000000000000003e-10,9.698970004336019
1hvr,1.8,1995,Ki,=,3.1e-10,9.508638306165727
1atl,1.8,1995,Ki,=,5.2e-07,6.2839966563652006
1hpv,1.9,1995,Ki,=,6e-10,9.221848749616356
1css,1.7,1995,Ki,=,8e-07,6.096910013008056
1ctu,2.3,1995,Ki,=,1.2e-12,11.920818753952375
1gar,1.96,1995,Ki,=,1e-10,10.0
1eat,2.0,1995,Ki,=,1.5000000000000002e-08,7.823908740944319
1ebg,2.1,1995,Ki,=,1.5e-11,10.823908740944319
1hdt,2.6,1995,Ki,=,1.7200000000000002e-08,7.764471553092451
1bty,1.5,1995,Ki,=,1.8399999999999997e-05,4.735182176990463
1eas,1.8,1995,Ki,=,1.8000000000000002e-08,7.7447274948966935
1ibg,2.7,1995,Ki,=,2.8e-09,8.55284196865778
1fiv,2.0,1995,Ki,=,2.6e-07,6.585026652029182
1bma,1.8,1995,Ki,=,2.6e-05,4.585026652029182
1ctt,2.2,1995,Ki,=,2.9999999999999997e-05,4.522878745280337
1csr,1.7,1995,Ki,=,4.2000000000000006e-08,7.376750709602099
1hbv,2.3,1995,Ki,=,4.3e-07,6.366531544420414
1std,2.9,1995,Ki,=,4.7e-11,10.327902142064282
1qca,2.2,1995,Ki,=,5.4e-06,5.267606240177032
1hvs,2.25,1995,Ki,=,5e-11,10.301029995663981
1hii,2.3,1995,Ki,=,5.3000000000000005e-08,7.275724130399211
1lan,1.9,1995,Ki,=,6.000000000000001e-08,7.221848749616356
1hti,2.8,1995,Ki,=,7.4e-06,5.130768280269024
1ppi,2.2,1995,Ki,=,9.699999999999999e-06,5.013228265733755
1hih,2.2,1995,Ki,=,9.000000000000001e-09,8.045757490560675
1vrt,2.2,1996,IC50,=,8e-08,7.096910013008056
1vru,2.4,1996,IC50,=,1e-07,7.0
1rth,2.2,1996,IC50,=,4e-07,6.3979400086720375
1bil,2.4,1996,IC50,=,5e-10,9.301029995663981
1pig,2.2,1996,IC50,=,7e-10,9.154901959985743
1bim,2.8,1996,IC50,=,1.2e-09,8.920818753952375
1fpi,2.3,1996,IC50,=,1.3e-06,5.886056647693163
1inf,2.4,1996,IC50,=,9.999999999999999e-06,5.0
1cwc,1.86,1996,IC50,=,1.6e-08,7.795880017344075
1rti,3.0,1996,IC50,=,1.7e-05,4.769551078621726
1cpi,2.05,1996,IC50,=,3.9000000000000005e-08,7.4089353929735005
1mik,1.76,1996,IC50,=,4.5000000000000003e-07,6.346787486224656
1nja,2.5,1996,Kd,=,4.9e-07,6.309803919971486
1njb,2.74,1996,Kd,=,1.6e-06,5.795880017344075
1gaf,1.95,1996,Kd,=,1e-08,8.0
1sts,1.95,1996,Kd,=,9.999999999999999e-06,5.0
1tsy,2.2,1996,Kd,=,1.1e-05,4.958607314841775
1cea,2.06,1996,Kd,=,1.1e-05,4.958607314841775
1dar,2.4,1996,Kd,=,1.1e-05,4.958607314841775
1lkk,1.0,1996,Kd,=,1.4e-07,6.853871964321762
1lkl,1.8,1996,Kd,=,1.54e-06,5.812479279163537
1tsv,2.9,1996,Kd,=,1.6e-05,4.795880017344075
1str,1.8,1996,Kd,=,1.7e-05,4.769551078621726
1ceb,2.07,1996,Kd,=,1e-06,6.0
1njd,2.2,1996,Kd,=,2.7e-06,5.568636235841013
1njc,2.5,1996,Kd,=,2.8e-06,5.552841968657781
1mai,1.9,1996,Kd,=,2.1e-07,6.6777807052660805
1sld,2.5,1996,Kd,=,2.7e-07,6.568636235841013
2olb,1.4,1996,Kd,=,2.9e-06,5.5376020021010435
1pot,1.8,1996,Kd,=,3.2e-06,5.494850021680094
1btn,2.0,1996,Kd,=,3.9999999999999996e-05,4.3979400086720375
1det,1.8,1996,Kd,=,4.9999999999999996e-05,4.301029995663981
1kel,1.9,1996,Kd,=,5.2e-08,7.2839966563652006
1sle,2.0,1996,Kd,=,6.7e-07,6.173925197299173
1cyn,1.85,1996,Ki,=,2.1000000000000003e-08,7.6777807052660805
1mmq,1.9,1996,Ki,=,3e-08,7.522878745280337
2upj,3.0,1996,Ki,=,4.1e-08,7.3872161432802645
1lhc,1.95,1996,Ki,=,4.0000000000000004e-11,10.397940008672037
2csm,2.8,1996,Ki,=,5e-05,4.301029995663981
1fmb,1.8,1996,Ki,=,1.0000000000000002e-10,10.0
1sln,2.27,1996,Ki,=,2.3e-07,6.638272163982407
1lhd,2.35,1996,Ki,=,2.4e-10,9.619788758288394
1lhe,2.25,1996,Ki,=,2.9e-10,9.537602002101044
1hsg,2.0,1996,Ki,=,3.8000000000000003e-10,9.42021640338319
1hsh,1.9,1996,Ki,=,3.8000000000000003e-10,9.42021640338319
1igb,2.3,1996,Ki,=,4e-07,6.3979400086720375
1jrs,1.8,1996,Ki,=,4e-07,6.3979400086720375
1aht,1.6,1996,Ki,=,6.2e-07,6.2076083105017466
1mmp,2.3,1996,Ki,=,8.499999999999999e-07,6.070581074285707
1pbk,2.5,1996,Ki,=,9.000000000000001e-10,9.045757490560675
1jao,2.4,1996,Ki,=,1.2e-06,5.920818753952375
1gai,1.7,1996,Ki,=,1e-08,8.0
1tcx,2.3,1996,Ki,=,1.1200000000000001e-07,6.950781977329818
1cwb,2.2,1996,Ki,=,1.3e-08,7.886056647693163
1dud,2.3,1996,Ki,=,1.4999999999999999e-05,4.823908740944319
1gah,2.0,1996,Ki,=,1e-12,12.0
1gno,2.3,1996,Ki,=,2e-08,7.698970004336019
1gnn,2.3,1996,Ki,=,2.1000000000000002e-06,5.6777807052660805
1dif,1.7,1996,Ki,=,2.1999999999999998e-11,10.657577319177793
1bmn,2.8,1996,Ki,=,3.6000000000000004e-09,8.443697499232712
1rev,2.6,1996,Ki,=,3.3000000000000004e-08,7.481486060122112
1jaq,2.4,1996,Ki,=,3.2999999999999996e-05,4.481486060122113
2csn,2.5,1996,Ki,=,3.9e-05,4.4089353929735005
1mmr,2.4,1996,Ki,=,4e-06,5.3979400086720375
1mtr,1.75,1996,Ki,=,4e-09,8.397940008672037
1hpx,2.0,1996,Ki,=,5.4999999999999996e-12,11.259637310505756
1gnm,2.3,1996,Ki,=,5.6e-07,6.251811972993799
1pro,1.8,1996,Ki,=,5e-12,11.301029995663981
1bmm,2.6,1996,Ki,=,7.9e-08,7.102372908709558
1lhg,2.25,1996,Ki,=,7.9e-08,7.102372908709558
1lhf,2.4,1996,Ki,=,8.1e-09,8.09151498112135
1tcw,2.4,1996,Ki,=,9.600000000000001e-07,6.017728766960431
1fkw,2.4,1996,Ki,=,9e-06,5.045757490560675
1kvo,2.0,1997,IC50,=,1.2999999999999999e-08,7.886056647693163
1tze,2.1,1997,IC50,=,1.4799999999999998e-07,6.8297382846050425
1jlx,2.2,1997,IC50,=,1.6e-06,5.795880017344075
1bkm,2.0,1997,IC50,=,1.8e-06,5.7447274948966935
2rox,2.0,1997,IC50,=,1.05e-05,4.978810700930062
1jld,2.5,1997,IC50,=,1.85e-07,6.732828271596986
1tvr,3.0,1997,IC50,=,3.3000000000000004e-08,7.481486060122112
1dth,2.0,1997,IC50,=,6.000000000000001e-09,8.221848749616356
1rt2,2.55,1997,IC50,=,6.000000000000001e-09,8.221848749616356
1aq1,2.0,1997,IC50,=,7.000000000000001e-09,8.154901959985743
1rt1,2.55,1997,IC50,=,8e-09,8.096910013008056
1lfo,2.3,1997,Kd,=,9e-09,8.045757490560675
1rbo,2.3,1997,Kd,=,1.9e-13,12.721246399047171
1drv,2.2,1997,Kd,=,2.9e-07,6.537602002101044
1aqj,2.6,1997,Kd,=,3.4000000000000003e-07,6.468521082957745
1okl,2.1,1997,Kd,=,9.3e-07,6.031517051446065
1ao0,2.8,1997,Kd,=,1.1e-05,4.958607314841775
1avp,2.6,1997,Kd,=,1.2000000000000002e-08,7.920818753952375
1jev,1.3,1997,Kd,=,1.3e-07,6.886056647693163
1jeu,1.25,1997,Kd,=,1.5000000000000002e-07,6.823908740944319
1ag9,1.8,1997,Kd,=,1e-09,9.0
1ado,1.9,1997,Kd,=,1e-06,6.0
2adm,2.6,1997,Kd,=,2e-06,5.698970004336019
1aqi,2.6,1997,Kd,=,2.4e-06,5.619788758288394
2h4n,1.9,1997,Kd,=,2e-09,8.698970004336019
2mas,2.3,1997,Kd,=,3.0000000000000004e-08,7.522878745280337
1rst,1.7,1997,Kd,=,3.7e-05,4.431798275933005
1aqc,2.3,1997,Kd,=,4.5599999999999995e-06,5.341035157335565
1jet,1.2,1997,Kd,=,5.6000000000000005e-08,7.251811972993799
2hrp,2.2,1997,Kd,=,5e-09,8.301029995663981
1mpa,2.6,1997,Kd,=,9.1e-09,8.040958607678906
1nox,1.59,1997,Kd,=,9.000000000000001e-08,7.045757490560675
1uvt,2.5,1997,Ki,=,2.2999999999999998e-08,7.638272163982407
1qbt,2.1,1997,Ki,=,2.4e-11,10.619788758288394
1qbr,1.8,1997,Ki,=,2.7e-11,10.568636235841012
1ajq,2.05,1997,Ki,=,4.9000000000000005e-05,4.309803919971486
1qbu,1.8,1997,Ki,=,5.8000000000000007e-11,10.236572006437063
1ai7,2.5,1997,Ki,=,8.2e-05,4.086186147616283
4vgc,2.1,1997,Ki,=,1.2699999999999999e-07,6.896196279044043
1hxb,2.3,1997,Ki,=,1.2e-10,9.920818753952375
1sqc,2.85,1997,Ki,=,1.4e-07,6.853871964321762
3mbp,1.7,1997,Ki,=,1.6e-07,6.795880017344075
1ad8,2.0,1997,Ki,=,2.5e-07,6.6020599913279625
1dmp,2.0,1997,Ki,=,2.8000000000000007e-10,9.55284196865778
1qbs,1.8,1997,Ki,=,3.4000000000000007e-10,9.468521082957745
1pau,2.5,1997,Ki,=,3.5e-10,9.455931955649724
2kce,2.2,1997,Ki,=,6.7e-07,6.173925197299173
1hpo,2.5,1997,Ki,=,6e-10,9.221848749616356
1vgc,1.9,1997,Ki,=,1.2e-06,5.920818753952375
1yds,2.2,1997,Ki,=,1.2e-06,5.920818753952375
3gss,1.9,1997,Ki,=,1.5e-06,5.823908740944319
1dub,2.5,1997,Ki,=,1.6e-06,5.795880017344075
1uvu,2.8,1997,Ki,=,9.999999999999999e-06,5.0
2gss,1.9,1997,Ki,=,1.15e-05,4.939302159646388
1ajx,2.0,1997,Ki,=,1.22e-08,7.913640169325252
1h4n,2.0,1997,Ki,=,1.2e-05,4.920818753952375
3aid,2.5,1997,Ki,=,1.37e-07,6.863279432843593
1aid,2.2,1997,Ki,=,1.4999999999999999e-05,4.823908740944319
1al7,2.6,1997,Ki,=,1.6e-08,7.795880017344075
1ajv,2.0,1997,Ki,=,1.9100000000000002e-08,7.718966632752273
1fwe,2.0,1997,Ki,=,2.4999999999999998e-06,5.6020599913279625
1vfn,2.15,1997,Ki,=,2.4999999999999998e-06,5.6020599913279625
1juy,2.5,1997,Ki,=,2.2000000000000002e-08,7.657577319177793
1vot,2.5,1997,Ki,=,2.5000000000000004e-07,6.6020599913279625
1ydr,2.2,1997,Ki,=,3e-06,5.522878745280337
3vgc,1.67,1997,Ki,=,3.11e-06,5.507239610973163
7upj,2.0,1997,Ki,=,3.2000000000000005e-09,8.494850021680094
1anf,1.67,1997,Ki,=,3.5e-06,5.455931955649724
1al8,2.2,1997,Ki,=,4.8e-06,5.318758762624412
1fax,3.0,1997,Ki,=,4.1e-08,7.3872161432802645
6upj,2.34,1997,Ki,=,4.800000000000001e-07,6.318758762624412
1ydt,2.3,1997,Ki,=,4.8000000000000006e-08,7.318758762624412
1uvs,2.8,1997,Ki,=,4e-06,5.3979400086720375
2vgc,1.8,1997,Ki,=,5.76e-06,5.239577516576788
1amk,1.83,1997,Ki,=,4.9999999999999996e-05,4.301029995663981
1ml1,2.6,1997,Ki,=,5.2e-05,4.2839966563652006
1tom,1.8,1997,Ki,=,5e-09,8.301029995663981
1sme,2.7,1997,Ki,=,6e-12,11.221848749616356
5upj,2.3,1997,Ki,=,7.500000000000001e-08,7.1249387366083
2jxr,2.4,1997,Ki,=,9.000000000000001e-08,7.045757490560675
1bm2,2.1,1998,IC50,=,1.0999999999999999e-07,6.958607314841775
2pax,2.4,1998,IC50,=,1.8e-07,6.7447274948966935
1vik,2.4,1998,IC50,=,3e-10,9.522878745280337
4aig,2.0,1998,IC50,=,3e-07,6.522878745280337
4pax,2.8,1998,IC50,=,4e-07,6.3979400086720375
1a2c,2.1,1998,IC50,=,5e-07,6.301029995663981
1bmb,1.8,1998,IC50,=,7e-07,6.154901959985743
1aq7,2.2,1998,IC50,=,9e-07,6.045757490560675
1bl4,1.9,1998,IC50,=,1.8000000000000002e-09,8.744727494896694
1fgi,2.5,1998,IC50,=,9.999999999999999e-06,5.0
2aig,2.6,1998,IC50,=,9.999999999999999e-06,5.0
3pax,2.4,1998,IC50,=,9.999999999999999e-06,5.0
3aig,2.8,1998,IC50,=,1e-06,6.0
1agw,2.4,1998,IC50,=,1.9999999999999998e-05,4.698970004336019
1bji,2.0,1998,IC50,=,2e-09,8.698970004336019
1bmq,2.5,1998,IC50,=,3.8e-08,7.42021640338319
1skj,2.0,1998,IC50,=,7e-06,5.154901959985743
1err,2.6,1998,IC50,=,7.700000000000001e-09,8.113509274827518
1akv,2.0,1998,Kd,=,2.6000000000000002e-12,11.585026652029182
1b7h,2.0,1998,Kd,=,9.499999999999999e-09,8.022276394711152
1b6h,1.8,1998,Kd,=,1.5e-08,7.823908740944319
1a4k,2.4,1998,Kd,=,1e-08,8.0
3pcj,2.13,1998,Kd,=,6e-08,7.221848749616356
1b1h,1.8,1998,Kd,=,9.3e-08,7.031517051446065
1b39,2.1,1998,Kd,=,1.2e-07,6.920818753952375
1b0h,1.9,1998,Kd,=,2e-07,6.698970004336019
1b38,2.0,1998,Kd,=,2.5399999999999997e-07,6.595166283380062
