pdb_code,resolution,year,measure_type,operator,affinity_m,paffinity,split
1nja,2.5,1996,Kd,=,4.9e-07,6.309803919971486,train
1njb,2.74,1996,Kd,=,1.6e-06,5.795880017344075,train
1gaf,1.95,1996,Kd,=,1e-08,8.0,train
1sts,1.95,1996,Kd,=,1e-05,5.0,train
1tsy,2.2,1996,Kd,=,1.1e-05,4.958607314841775,train
1dar,2.4,1996,Kd,=,1.1e-05,4.958607314841775,train
1lkk,1.0,1996,Kd,=,1.4e-07,6.853871964321762,train
1lkl,1.8,1996,Kd,=,1.54e-06,5.812479279163537,train
1ceb,2.07,1996,Kd,=,1e-06,6.0,train
1njd,2.2,1996,Kd,=,2.7e-06,5.568636235841013,train
1mai,1.9,1996,Kd,=,2.1e-07,6.6777807052660805,train
1sld,2.5,1996,Kd,=,2.7e-07,6.568636235841013,train
2olb,1.4,1996,Kd,=,2.9e-06,5.537602002101044,train
1btn,2.0,1996,Kd,=,4e-05,4.3979400086720375,train
1sle,2.0,1996,Kd,=,6.7e-07,6.173925197299173,train
1cyn,1.85,1996,Ki,=,2.1000000000000003e-08,7.67778070526608,train
1mmq,1.9,1996,Ki,=,3e-08,7.522878745280337,train
2upj,3.0,1996,Ki,=,4.1e-08,7.387216143280264,train
2csm,2.8,1996,Ki,=,5e-05,4.301029995663981,train
1fmb,1.8,1996,Ki,=,1.0000000000000002e-10,10.0,train
1lhd,2.35,1996,Ki,=,2.4e-10,9.619788758288394,train
1lhe,2.25,1996,Ki,=,2.9e-10,9.537602002101044,train
1hsg,2.0,1996,Ki,=,3.8e-10,9.42021640338319,train
1hsh,1.9,1996,Ki,=,3.8e-10,9.42021640338319,train
1igb,2.3,1996,Ki,=,4e-07,6.3979400086720375,train
1aht,1.6,1996,Ki,=,6.2e-07,6.2076083105017466,train
1mmp,2.3,1996,Ki,=,8.499999999999999e-07,6.070581074285707,train
1jao,2.4,1996,Ki,=,1.2e-06,5.920818753952375,train
1tcx,2.3,1996,Ki,=,1.1200000000000001e-07,6.950781977329818,train
1cwb,2.2,1996,Ki,=,1.3e-08,7.886056647693163,train
1gno,2.3,1996,Ki,=,2e-08,7.698970004336019,train
1gnn,2.3,1996,Ki,=,2.1e-06,5.6777807052660805,train
1dif,1.7,1996,Ki,=,2.1999999999999998e-11,10.657577319177792,train
1bmn,2.8,1996,Ki,=,3.6e-09,8.443697499232712,train
1jaq,2.4,1996,Ki,=,3.3e-05,4.481486060122113,train
2csn,2.5,1996,Ki,=,3.9e-05,4.4089353929735005,train
1mmr,2.4,1996,Ki,=,4e-06,5.3979400086720375,train
1mtr,1.75,1996,Ki,=,4e-09,8.397940008672037,train
1hpx,2.0,1996,Ki,=,5.5e-12,11.259637310505756,train
1gnm,2.3,1996,Ki,=,5.6e-07,6.251811972993799,train
1pro,1.8,1996,Ki,=,5e-12,11.30102999566398,train
1tcw,2.4,1996,Ki,=,9.6e-07,6.017728766960431,train
1fkw,2.4,1996,Ki,=,9e-06,5.045757490560675,train
1kvo,2.0,1997,IC50,=,1.3e-08,7.886056647693163,train
1jlx,2.2,1997,IC50,=,1.6e-06,5.795880017344075,train
1jld,2.5,1997,IC50,=,1.85e-07,6.732828271596986,train
1tvr,3.0,1997,IC50,=,3.3000000000000004e-08,7.481486060122112,train
1dth,2.0,1997,IC50,=,6.000000000000001e-09,8.221848749616356,train
1rt2,2.55,1997,IC50,=,6.000000000000001e-09,8.221848749616356,train
1aq1,2.0,1997,IC50,=,7.0000000000000015e-09,8.154901959985743,train
1lfo,2.3,1997,Kd,=,9e-09,8.045757490560675,train
1drv,2.2,1997,Kd,=,2.9e-07,6.537602002101044,train
1aqj,2.6,1997,Kd,=,3.400000000000001e-07,6.468521082957745,train
1okl,2.1,1997,Kd,=,9.3e-07,6.031517051446065,train
1ao0,2.8,1997,Kd,=,1.1e-05,4.958607314841775,train
1avp,2.6,1997,Kd,=,1.2000000000000002e-08,7.920818753952375,train
1jev,1.3,1997,Kd,=,1.3e-07,6.886056647693163,train
1jeu,1.25,1997,Kd,=,1.5000000000000002e-07,6.823908740944319,train
1ag9,1.8,1997,Kd,=,1e-09,9.0,train
2h4n,1.9,1997,Kd,=,2e-09,8.698970004336019,train
1aqc,2.3,1997,Kd,=,4.56e-06,5.341035157335565,train
2hrp,2.2,1997,Kd,=,5e-09,8.301029995663981,train
1mpa,2.6,1997,Kd,=,9.1e-09,8.040958607678906,train
1nox,1.59,1997,Kd,=,9.000000000000001e-08,7.045757490560675,train
1uvt,2.5,1997,Ki,=,2.3e-08,7.638272163982407,train
1qbr,1.8,1997,Ki,=,2.7e-11,10.568636235841012,train
1ajq,2.05,1997,Ki,=,4.9000000000000005e-05,4.309803919971486,train
1ai7,2.5,1997,Ki,=,8.2e-05,4.086186147616283,train
4vgc,2.1,1997,Ki,=,1.27e-07,6.896196279044043,train
1hxb,2.3,1997,Ki,=,1.2e-10,9.920818753952377,train
1sqc,2.85,1997,Ki,=,1.4e-07,6.853871964321762,train
1ad8,2.0,1997,Ki,=,2.5e-07,6.6020599913279625,train
1dmp,2.0,1997,Ki,=,2.8000000000000007e-10,9.55284196865778,train
1pau,2.5,1997,Ki,=,3.5e-10,9.455931955649724,train
2kce,2.2,1997,Ki,=,6.7e-07,6.173925197299173,train
1vgc,1.9,1997,Ki,=,1.2e-06,5.920818753952375,train
1yds,2.2,1997,Ki,=,1.2e-06,5.920818753952375,train
1uvu,2.8,1997,Ki,=,1e-05,5.0,train
2gss,1.9,1997,Ki,=,1.15e-05,4.939302159646388,train
1ajx,2.0,1997,Ki,=,1.22e-08,7.913640169325252,train
1h4n,2.0,1997,Ki,=,1.2e-05,4.920818753952375,train
3aid,2.5,1997,Ki,=,1.37e-07,6.863279432843593,train
1aid,2.2,1997,Ki,=,1.5e-05,4.823908740944319,train
1vfn,2.15,1997,Ki,=,2.5e-06,5.6020599913279625,train
1vot,2.5,1997,Ki,=,2.5000000000000004e-07,6.6020599913279625,train
1ydr,2.2,1997,Ki,=,3e-06,5.522878745280337,train
3vgc,1.67,1997,Ki,=,3.11e-06,5.507239610973163,train
6upj,2.34,1997,Ki,=,4.800000000000001e-07,6.318758762624412,train
1uvs,2.8,1997,Ki,=,4e-06,5.3979400086720375,train
2vgc,1.8,1997,Ki,=,5.76e-06,5.239577516576788,train
1ml1,2.6,1997,Ki,=,5.2e-05,4.2839966563652006,train
1tom,1.8,1997,Ki,=,5e-09,8.301029995663981,train
1sme,2.7,1997,Ki,=,6e-12,11.221848749616356,train
5upj,2.3,1997,Ki,=,7.500000000000001e-08,7.1249387366083,train
2jxr,2.4,1997,Ki,=,9.000000000000001e-08,7.045757490560675,train
2pax,2.4,1998,IC50,=,1.8e-07,6.7447274948966935,train
1vik,2.4,1998,IC50,=,3e-10,9.522878745280336,train
4pax,2.8,1998,IC50,=,4e-07,6.3979400086720375,train
1bmb,1.8,1998,IC50,=,7e-07,6.154901959985743,train
1aq7,2.2,1998,IC50,=,9e-07,6.045757490560675,train
1bl4,1.9,1998,IC50,=,1.8e-09,8.744727494896694,train
1fgi,2.5,1998,IC50,=,1e-05,5.0,train
2aig,2.6,1998,IC50,=,1e-05,5.0,train
3pax,2.4,1998,IC50,=,1e-05,5.0,train
3aig,2.8,1998,IC50,=,1e-06,6.0,train
1agw,2.4,1998,IC50,=,2e-05,4.698970004336019,train
1bji,2.0,1998,IC50,=,2e-09,8.698970004336019,train
1bmq,2.5,1998,IC50,=,3.8e-08,7.42021640338319,train
1skj,2.0,1998,IC50,=,7e-06,5.154901959985743,train
1err,2.6,1998,IC50,=,7.700000000000001e-09,8.113509274827518,train
1akv,2.0,1998,Kd,=,2.6000000000000002e-12,11.585026652029182,train
1b7h,2.0,1998,Kd,=,9.5e-09,8.022276394711152,train
1b6h,1.8,1998,Kd,=,1.5e-08,7.823908740944319,train
1a4k,2.4,1998,Kd,=,1e-08,8.0,train
3pcj,2.13,1998,Kd,=,6e-08,7.221848749616356,train
1b39,2.1,1998,Kd,=,1.2e-07,6.920818753952375,train
1b0h,1.9,1998,Kd,=,2e-07,6.698970004336019,train
1a09,2.0,1998,Kd,=,2e-07,6.698970004336019,train
1x11,2.5,1998,Kd,=,3.2e-07,6.494850021680094,train
1a1b,2.2,1998,Kd,=,4e-07,6.3979400086720375,train
1wdn,1.94,1998,Kd,=,5e-07,6.301029995663981,train
1b3h,2.0,1998,Kd,=,6.2e-07,6.2076083105017466,train
1akq,1.9,1998,Kd,=,7.900000000000001e-10,9.102372908709558,train
1jmg,2.2,1998,Kd,=,8.499999999999999e-07,6.070581074285707,train
1jmi,2.5,1998,Kd,=,8.699999999999999e-07,6.060480747381382,train
1b5h,1.9,1998,Kd,=,9.7e-07,6.013228265733755,train
1aj6,2.3,1998,Kd,=,1.2e-06,5.920818753952375,train
1yet,1.9,1998,Kd,=,1.2e-06,5.920818753952375,train
1bbz,1.65,1998,Kd,=,1.5e-06,5.823908740944319,train
1vwn,1.85,1998,Kd,=,1.5e-06,5.823908740944319,train
1b3f,1.8,1998,Kd,=,1.3e-07,6.886056647693163,train
1axs,2.6,1998,Kd,=,1.7e-08,7.769551078621726,train
1br8,2.9,1998,Kd,=,1.8e-05,4.7447274948966935,train
2izl,1.48,1998,Kd,=,1e-06,6.0,train
1vwl,1.45,1998,Kd,=,2.33e-06,5.632644078973981,train
1akw,1.75,1998,Kd,=,2.6e-09,8.585026652029182,train
1b3g,2.0,1998,Kd,=,2.0000000000000002e-07,6.698970004336019,train
1amw,1.85,1998,Kd,=,2.9e-05,4.537602002101044,train
1b2h,1.9,1998,Kd,=,2.9e-05,4.537602002101044,train
1a99,2.2,1998,Kd,=,2e-06,5.698970004336019,train
1akt,1.8,1998,Kd,=,3.2e-09,8.494850021680094,train
1b4h,1.9,1998,Kd,=,3.44e-06,5.46344155742847,train
1a3e,1.85,1998,Kd,=,3.5e-09,8.455931955649724,train
1bm7,2.0,1998,Kd,=,3.0000000000000004e-08,7.522878745280337,train
5tmp,1.98,1998,Kd,=,3.4e-08,7.468521082957745,train
1bhf,1.8,1998,Kd,=,4.2e-05,4.376750709602099,train
4rsk,2.1,1998,Kd,=,4.7399999999999993e-05,4.324221658325915,train
1aku,1.9,1998,Kd,=,7.46e-07,6.127261172527331,train
1b05,2.0,1998,Kd,=,7.500000000000001e-08,7.1249387366083,train
1b32,1.75,1998,Kd,=,7.9e-08,7.102372908709558,train
1at6,1.8,1998,Kd,=,8.499999999999999e-05,4.070581074285707,train
1usn,1.8,1998,Ki,=,1.8e-08,7.744727494896693,train
1bv7,2.0,1998,Ki,=,5.000000000000001e-11,10.30102999566398,train
1a5g,2.06,1998,Ki,=,7.1e-11,10.148741651280924,train
1xug,1.5,1998,Ki,=,9e-08,7.045757490560675,train
1bxo,0.95,1998,Ki,=,1.0000000000000002e-10,10.0,train
1bv9,2.0,1998,Ki,=,1.1e-10,9.958607314841776,train
1a52,2.8,1998,Ki,=,1.38e-10,9.860120913598765,train
1bhx,2.3,1998,Ki,=,1.45e-07,6.838631997765025,train
1tbz,2.3,1998,Ki,=,1.6000000000000002e-10,9.795880017344077,train
1bdr,2.8,1998,Ki,=,2.1000000000000003e-07,6.6777807052660805,train
2usn,2.2,1998,Ki,=,3.1e-07,6.508638306165727,train
1alw,2.03,1998,Ki,=,3e-07,6.522878745280337,train
1bdq,2.5,1998,Ki,=,4.6e-07,6.337242168318426,train
1met,1.9,1998,Ki,=,4.0000000000000007e-10,9.397940008672036,train
10gs,2.2,1998,Ki,=,4e-07,6.3979400086720375,train
1awh,3.0,1998,Ki,=,8.299999999999999e-07,6.080921907623926,train
1meu,1.9,1998,Ki,=,8e-07,6.096910013008056,train
2wed,1.5,1998,Ki,=,8e-07,6.096910013008056,train
1awf,2.2,1998,Ki,=,9.7e-07,6.013228265733755,train
3pcf,2.15,1998,Ki,=,9e-07,6.045757490560675,train
1a4w,1.8,1998,Ki,=,1.2e-06,5.920818753952375,train
1bdl,2.8,1998,Ki,=,1.4099999999999998e-06,5.85078088734462,train
2amv,2.3,1998,Ki,=,1.6000000000000003e-09,8.795880017344075,train
1a8t,2.55,1998,Ki,=,1.6e-06,5.795880017344075,train
1b5g,2.07,1998,Ki,=,1e-08,8.0,train
1a9m,2.3,1998,Ki,=,1.1900000000000001e-07,6.924453038607469,train
1hvh,1.8,1998,Ki,=,1.1000000000000001e-08,7.958607314841775,train
1au2,2.6,1998,Ki,=,1.3e-08,7.886056647693163,train
2qwd,2.0,1998,Ki,=,1.4e-05,4.853871964321762,train
1b4d,2.0,1998,Ki,=,1.56e-05,4.806875401645539,train
1bju,1.8,1998,Ki,=,1.6e-05,4.795880017344075,train
6cgt,2.6,1998,Ki,=,1e-06,6.0,train
4mbp,1.7,1998,Ki,=,2.3e-06,5.638272163982407,train
1a61,2.2,1998,Ki,=,2.4e-09,8.619788758288394,train
1a46,2.12,1998,Ki,=,2.0000000000000003e-06,5.698970004336019,train
1b0f,3.0,1998,Ki,=,2e-08,7.698970004336019,train
1bjr,2.44,1998,Ki,=,2.1000000000000003e-08,7.67778070526608,train
1au0,2.6,1998,Ki,=,2.2000000000000002e-08,7.657577319177793,train
5fiv,1.9,1998,Ki,=,2.2000000000000002e-08,7.657577319177793,train
2hpa,2.9,1998,Ki,=,2.5e-05,4.6020599913279625,train
1ohr,2.1,1998,Ki,=,2e-09,8.698970004336019,train
1a8i,1.78,1998,Ki,=,3e-06,5.522878745280337,train
2prj,2.3,1998,Ki,=,3.2e-05,4.494850021680094,train
1lox,2.4,1998,Ki,=,3e-06,5.522878745280337,train
1b11,1.9,1998,Ki,=,4.1e-08,7.387216143280264,train
1bxq,1.41,1998,Ki,=,4.2000000000000006e-08,7.376750709602099,train
1ibc,2.73,1998,Ki,=,5.6e-11,10.2518119729938,train
1a69,2.1,1998,Ki,=,5e-06,5.301029995663981,train
16pk,1.6,1998,Ki,=,6e-06,5.221848749616356,train
3bls,2.3,1998,Ki,=,7.299999999999999e-06,5.136677139879544,train
6fiv,1.9,1998,Ki,=,8.300000000000002e-09,8.080921907623926,train
1a4m,1.95,1998,Ki,=,1e-13,13.0,train
1a4g,2.2,1999,IC50,=,4e-09,8.397940008672037,train
1bl7,2.5,1999,IC50,=,1.9e-08,7.721246399047171,train
1bmk,2.4,1999,IC50,=,2.5e-08,7.602059991327962,train
1qf5,2.0,1999,IC50,=,4.3e-08,7.366531544420414,train
1a9u,2.5,1999,IC50,=,4.8e-08,7.318758762624412,train
1db4,2.2,1999,IC50,=,5.7e-08,7.244125144327507,train
1db5,2.8,1999,IC50,=,1.5199999999999998e-07,6.818156412055227,train
1bl6,2.5,1999,IC50,=,1.6e-07,6.795880017344075,train
1qti,2.5,1999,IC50,=,3.6e-07,6.443697499232713,train
1vij,2.4,1999,IC50,=,3e-10,9.522878745280336,train
1c3r,2.0,1999,IC50,=,4e-07,6.3979400086720375,train
1qf4,2.2,1999,IC50,=,6.65e-07,6.177178354696896,train
1cj1,3.0,1999,IC50,=,1.6000000000000003e-09,8.795880017344075,train
2cbr,2.8,1999,IC50,=,1.4e-07,6.853871964321762,train
1cx9,2.3,1999,IC50,=,1.78e-07,6.749579997691106,train
1bqo,2.3,1999,IC50,=,1.84e-08,7.735182176990463,train
1qs4,2.1,1999,IC50,=,2.3e-06,5.638272163982407,train
1zfp,1.8,1999,IC50,=,2.6e-08,7.585026652029182,train
1qpf,2.5,1999,IC50,=,2.7e-08,7.568636235841013,train
1czq,1.5,1999,IC50,=,2.9e-05,4.537602002101044,train
1a4q,1.9,1999,IC50,=,3.6e-06,5.443697499232713,train
1a85,2.0,1999,IC50,=,3e-05,4.522878745280337,train
1c50,2.3,1999,IC50,=,3.34e-07,6.476253533188435,train
1bug,2.7,1999,IC50,=,4.3e-05,4.366531544420414,train
3znc,2.8,1999,IC50,=,4.53e-08,7.343901797987168,train
1c9d,2.3,1999,IC50,=,4.99e-07,6.30189945437661,train
1eve,2.5,1999,IC50,=,5.7000000000000006e-09,8.244125144327509,train
